ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
MNST,99.94,99.94,94.73,5.21,105.15,107.755,85,4.2083,70.2014,42.783,breakout,1.125,57,1.5,1.0,1,False,no-fresh-dip,2026-07-17 06:21
USB,64.01,64.01,60.6,3.41,67.42,69.125,130,4.8823,70.3044,36.9181,breakout,0.645,87,1.5,1.0,1,False,no-fresh-dip,2026-07-17 06:21
