ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
KTB.BK,41.25,41.25,37.0,4.25,45.5,47.625,0,7.5341,81.6494,54.8729,breakout,0.986,0,1.5,1.0,1,False,no-fresh-dip,2026-07-13 22:57
SCB.BK,158.5,158.5,146.0,12.5,171.0,177.25,0,6.2827,80.8189,49.6085,breakout,-0.005,0,1.0,1.0,3,False,no-fresh-dip,2026-07-13 22:57
BBL.BK,197.5,197.5,177.5,20.0,217.5,227.5,0,6.3675,75.527,47.9909,breakout,0.087,0,1.25,1.0,2,False,no-fresh-dip,2026-07-13 22:57
RATCH.BK,37.25,37.25,31.0,6.25,43.5,46.625,0,12.0512,82.3463,39.4283,breakout,0.179,0,1.25,1.0,2,False,no-fresh-dip,2026-07-13 22:57
PLANB.BK,5.6,5.6,4.48,1.12,6.72,7.28,0,17.8088,76.7334,38.3783,breakout,-0.074,0,1.0,1.0,3,False,no-fresh-dip,2026-07-13 22:57
BCP.BK,37.5,37.5,32.75,4.75,42.25,44.625,0,7.4983,72.707,25.167,breakout,-0.28,0,1.0,1.0,3,False,"not-green, no-fresh-dip",2026-07-13 22:57
KCE.BK,44.25,44.25,36.25,8.0,52.25,56.25,0,12.014,64.1459,23.6796,breakout,2.074,0,1.5,1.0,1,False,no-fresh-dip,2026-07-13 22:57
SCC.BK,250.0,250.0,235.0,15.0,265.0,272.5,0,3.3001,63.0393,22.6987,dip,0.105,0,1.25,1.0,2,True,confirmed,2026-07-13 22:57
STA.BK,18.3,18.3,16.7,1.6,19.9,20.7,0,2.9867,55.6626,22.6899,dip,0.522,0,1.25,1.0,2,True,confirmed,2026-07-13 22:57
IRPC.BK,1.92,1.92,1.78,0.14,2.06,2.13,0,4.9267,60.4097,21.1132,dip,1.554,0,1.5,1.0,1,True,confirmed,2026-07-13 22:57
PTT.BK,37.75,37.75,35.0,2.75,40.5,41.875,0,3.7879,65.9822,18.2401,breakout,-0.194,0,1.0,1.0,3,False,adx 18<20,2026-07-13 22:57
