ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
TISCO.BK,127.0,127.0,119.0,8.0,135.0,139.0,0,4.7286,77.7346,61.4544,breakout,-0.1,0,1.0,1.0,3,False,no-fresh-dip,2026-07-16 17:12
BBL.BK,203.0,203.0,188.0,15.0,218.0,225.5,0,7.2289,79.1495,53.586,breakout,0.087,0,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
TTB.BK,2.72,2.72,2.5,0.22,2.94,3.05,2000,6.6346,88.4787,52.0208,breakout,0.21,1600,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
RATCH.BK,37.75,37.75,31.75,6.0,43.75,46.75,0,10.0989,79.6321,47.4277,breakout,0.179,0,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
GPSC.BK,52.0,52.0,45.5,6.5,58.5,61.75,0,11.2277,80.6756,45.6261,breakout,0.408,0,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
ICHI.BK,14.8,14.8,13.9,0.9,15.7,16.15,300,5.1301,72.4267,42.7887,breakout,-0.16,300,1.0,1.0,3,False,no-fresh-dip,2026-07-16 17:12
SPRC.BK,9.15,9.15,7.6,1.55,10.7,11.475,200,14.8812,80.8125,37.7483,breakout,0.425,200,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
BCP.BK,42.25,42.25,34.5,7.75,50.0,53.875,0,16.6145,85.279,32.7608,breakout,-0.28,0,1.0,1.0,3,False,no-fresh-dip,2026-07-16 17:12
QH.BK,1.41,1.41,1.36,0.05,1.46,1.485,5300,2.8232,63.4302,30.988,dip|breakout,-0.586,7100,0.75,1.0,4,True,confirmed,2026-07-16 17:12
TOP.BK,60.0,60.0,48.5,11.5,71.5,77.25,0,18.6901,81.723,28.7611,breakout,0.379,0,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
IRPC.BK,2.0,2.0,1.83,0.17,2.17,2.255,3100,7.3736,66.4947,25.3315,breakout,1.554,2100,1.5,1.0,1,False,no-fresh-dip,2026-07-16 17:12
SCC.BK,256.0,256.0,235.0,21.0,277.0,287.5,0,4.5262,68.8295,24.3504,breakout,0.105,0,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
PRM.BK,9.4,9.4,8.9,0.5,9.9,10.15,800,4.7458,70.3162,22.7228,breakout,0.393,700,1.25,1.0,2,False,no-fresh-dip,2026-07-16 17:12
ERW.BK,3.1,3.1,2.9,0.2,3.3,3.4,2100,2.5496,57.2225,21.6447,dip,0.059,1700,1.25,1.0,2,True,confirmed,2026-07-16 17:12
AURA.BK,14.5,14.5,13.6,0.9,15.4,15.85,200,2.9748,58.9742,20.2062,dip,-0.694,300,0.75,1.0,4,True,confirmed,2026-07-16 17:12
EGCO.BK,129.0,129.0,119.5,9.5,138.5,143.25,0,5.1696,65.5857,19.7113,breakout,-0.341,0,0.75,1.0,4,False,"no-fresh-dip, adx 20<20",2026-07-16 17:12
SIRI.BK,1.51,1.51,1.43,0.08,1.59,1.63,3300,3.697,66.2487,18.6522,breakout,-0.469,4400,0.75,1.0,4,False,adx 19<20,2026-07-16 17:12
IVL.BK,25.0,25.0,22.4,2.6,27.6,28.9,0,8.8157,71.7503,18.4725,breakout,-0.385,100,0.75,1.0,4,False,"no-fresh-dip, adx 18<20",2026-07-16 17:12
PTTGC.BK,36.75,36.75,33.5,3.25,40.0,41.625,100,7.093,69.0279,15.9288,breakout,0.488,100,1.25,1.0,2,False,"no-fresh-dip, adx 16<20",2026-07-16 17:12
