ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-10,1,3.0,4.800000190734863,11.8,80.8,52.2,4.159999847412109,5.440000534057617,5.760000705718994,2343,trend
STECON.BK,2026-07-10,1,3.0,18.799999237060547,6.36,65.0,39.5,17.399999618530273,20.19999885559082,20.899998664855957,1071,dip|trend
TFG.BK,2026-07-10,1,2.0748,10.699999809265137,5.61,60.8,36.5,9.399999618530273,12.0,12.650000095367432,1153,trend
KCE.BK,2026-07-10,1,2.0539,42.5,8.96,60.9,23.4,36.25,48.75,51.875,240,trend
AMATA.BK,2026-07-10,1,1.6316,28.5,7.45,66.9,33.5,25.25,31.75,33.375,460,dip|breakout|trend
IRPC.BK,2026-07-10,1,1.5901,1.8600000143051147,2.18,54.8,20.2,1.7400000095367432,1.9800000190734863,2.040000021457672,12499,trend
KKP.BK,2026-07-10,1,1.4494,104.0,5.6,74.0,57.6,98.25,109.75,112.625,259,trend
HANA.BK,2026-07-10,1,1.4475,37.5,1.46,52.3,12.2,34.0,41.0,42.75,427,reclaim|trend
CCET.BK,2026-07-10,1,1.3182,8.949999809265137,1.77,53.2,18.7,8.100000381469727,9.799999237060547,10.224998950958252,1764,reclaim|trend
JMART.BK,2026-07-10,1,1.193,12.300000190734863,26.87,77.8,36.2,9.100000381469727,15.5,17.09999990463257,468,dip|breakout|trend
KTB.BK,2026-07-10,1,0.9622,40.75,7.08,80.0,53.7,36.25,45.25,47.5,333,trend
WHA.BK,2026-07-10,1,0.8591,5.449999809265137,6.67,67.5,33.2,4.960000038146973,5.939999580383301,6.184999465942383,3060,dip|breakout|trend
BLA.BK,2026-07-10,1,0.856,27.5,8.66,73.9,44.7,24.100000381469727,30.899999618530273,32.59999942779541,441,trend
SCGP.BK,2026-07-10,1,0.7692,28.5,3.38,59.4,43.3,26.5,30.5,31.5,750,trend
AOT.BK,2026-07-10,1,0.7627,63.5,2.75,64.0,38.1,62.25,64.75,65.375,1200,trend
STGT.BK,2026-07-10,1,0.6929,10.600000381469727,1.11,51.5,23.8,9.949999809265137,11.250000953674316,11.575001239776611,2307,trend
BGRIM.BK,2026-07-10,1,0.5914,19.600000381469727,12.89,79.9,55.2,16.5,22.700000762939453,24.250000953674316,483,breakout|trend
PTTGC.BK,2026-07-10,1,0.5816,34.25,1.4,53.1,14.6,32.0,36.5,37.625,666,trend
CK.BK,2026-07-10,1,0.5689,19.799999237060547,2.39,57.0,21.6,18.700000762939453,20.89999771118164,21.449996948242188,1363,trend
SPRC.BK,2026-07-10,2,0.5682,8.25,7.82,74.6,28.5,7.400000095367432,9.099999904632568,9.524999856948853,1470,trend
GULF.BK,2026-07-10,2,0.536,63.5,1.52,54.6,16.6,60.0,67.0,68.75,356,trend
TOP.BK,2026-07-10,2,0.4726,50.0,3.32,60.3,24.7,46.75,53.25,54.875,383,trend
BA.BK,2026-07-10,2,0.4721,19.0,6.29,63.8,38.4,17.0,21.0,22.0,625,dip|trend
STA.BK,2026-07-10,2,0.4675,17.899999618530273,1.05,51.0,22.9,16.600000381469727,19.19999885559082,19.849998474121094,961,trend
COM7.BK,2026-07-10,2,0.4587,29.5,5.73,65.3,36.7,26.75,32.25,33.625,453,dip|breakout|trend
PRM.BK,2026-07-10,2,0.3666,9.0,1.62,58.5,19.2,8.75,9.25,9.375,5000,trend
GPSC.BK,2026-07-10,2,0.3627,49.25,9.14,75.6,43.1,42.75,55.75,59.0,191,breakout|trend
TCAP.BK,2026-07-10,2,0.3504,71.75,6.57,85.6,58.5,65.25,78.25,81.5,191,trend
KTC.BK,2026-07-10,2,0.2948,37.0,8.51,82.0,51.9,32.5,41.5,43.75,277,trend
KBANK.BK,2026-07-10,2,0.2903,232.0,5.66,75.4,51.3,213.0,251.0,260.5,65,trend
TTB.BK,2026-07-10,2,0.1979,2.640000104904175,5.9,84.2,46.4,2.380000114440918,2.9000000953674316,3.03000009059906,4807,trend
RATCH.BK,2026-07-10,2,0.1147,36.25,10.44,79.7,36.4,30.75,41.75,44.5,226,breakout|trend
SCC.BK,2026-07-10,2,0.0877,245.0,1.59,57.6,22.6,235.0,255.0,260.0,125,dip|trend
BBL.BK,2026-07-10,2,0.0823,196.5,6.54,74.7,46.0,175.0,218.0,228.75,57,trend
AWC.BK,2026-07-10,2,0.0726,2.5799999237060547,0.26,53.5,28.9,2.4600000381469727,2.6999998092651367,2.7599997520446777,10416,reclaim|trend
CRC.BK,2026-07-10,2,0.0274,23.200000762939453,1.51,57.7,35.5,22.0,24.400001525878906,25.000001907348633,1041,trend
CPN.BK,2026-07-10,2,-0.0061,67.0,0.87,55.6,17.3,65.5,68.5,69.25,832,trend
ERW.BK,2026-07-10,2,-0.0156,3.0399999618530273,1.02,54.3,26.0,2.9000000953674316,3.179999828338623,3.249999761581421,8927,reclaim|trend
SCB.BK,2026-07-10,3,-0.0209,156.5,5.64,78.7,48.1,144.5,168.5,174.5,83,breakout|trend
RCL.BK,2026-07-10,3,-0.0255,32.5,1.51,54.8,31.6,31.25,33.75,34.375,800,trend
ADVANC.BK,2026-07-10,3,-0.0331,373.0,1.8,59.3,24.8,352.0,394.0,404.5,47,trend
ICHI.BK,2026-07-10,3,-0.0822,14.399999618530273,3.99,67.8,41.3,13.699999809265137,15.09999942779541,15.449999332427979,1428,trend
BANPU.BK,2026-07-10,3,-0.0949,5.75,3.96,65.8,18.6,5.199999809265137,6.300000190734863,6.575000286102295,1818,trend
PTTEP.BK,2026-07-10,3,-0.1126,139.5,2.46,55.4,26.4,130.0,149.0,153.75,105,trend
TISCO.BK,2026-07-10,3,-0.1381,123.5,3.7,77.9,54.9,116.5,130.5,134.0,142,trend
CENTEL.BK,2026-07-10,3,-0.1502,36.5,1.42,55.7,13.7,34.75,38.25,39.125,571,trend
PTT.BK,2026-07-10,3,-0.1564,37.5,3.51,64.2,17.4,35.0,40.0,41.25,400,trend
