ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-08,1,3.2925,4.659999847412109,11.5,78.3,49.3,3.9000000953674316,5.419999599456787,5.799999475479126,19735,breakout|trend
TFG.BK,2026-07-08,1,2.3596,10.800000190734863,8.17,63.4,34.1,9.300000190734863,12.300000190734863,13.050000190734863,9999,trend
IRPC.BK,2026-07-08,1,1.7449,1.899999976158142,4.76,60.5,19.6,1.6299999952316284,2.1699999570846558,2.3049999475479126,55555,trend
KKP.BK,2026-07-08,1,1.6519,100.5,3.42,65.1,59.7,96.25,104.75,106.875,3528,trend
KTB.BK,2026-07-08,1,0.9511,39.25,4.71,73.7,52.2,36.0,42.5,44.125,4614,trend
AOT.BK,2026-07-08,1,0.9181,62.5,1.67,60.2,40.3,60.75,64.25,65.125,8571,trend
TOP.BK,2026-07-08,1,0.6887,51.0,5.99,68.4,26.3,44.25,57.75,61.125,2221,trend
BLA.BK,2026-07-08,1,0.6716,26.25,5.63,67.4,41.4,23.799999237060547,28.700000762939453,29.92500114440918,6121,trend
PTTGC.BK,2026-07-08,1,0.6427,34.5,2.46,55.1,16.2,30.75,38.25,40.125,3999,trend
SPRC.BK,2026-07-08,1,0.6223,8.25,9.49,80.0,25.0,7.050000190734863,9.449999809265137,10.049999713897705,12499,breakout|trend
STA.BK,2026-07-08,2,0.5135,17.700000762939453,0.16,48.5,24.5,16.5,18.900001525878906,19.500001907348633,10416,trend
PRM.BK,2026-07-08,2,0.4545,8.949999809265137,1.48,57.6,19.8,8.649999618530273,9.25,9.400000095367432,41666,trend
COM7.BK,2026-07-08,2,0.4317,28.0,1.17,56.3,37.9,26.5,29.5,30.25,8332,trend
BGRIM.BK,2026-07-08,2,0.398,18.700000762939453,10.6,75.6,53.4,16.5,20.900001525878906,22.000001907348633,5681,breakout|trend
GPSC.BK,2026-07-08,2,0.3743,46.25,4.42,65.6,42.1,42.75,49.75,51.5,3571,trend
TCAP.BK,2026-07-08,2,0.373,71.25,7.39,84.8,55.3,64.5,78.0,81.375,1851,trend
KBANK.BK,2026-07-08,2,0.3515,227.0,4.65,70.2,49.2,208.0,246.0,255.5,657,trend
KTC.BK,2026-07-08,2,0.3398,37.0,10.52,84.4,48.5,32.0,42.0,44.5,2500,trend
TTB.BK,2026-07-08,2,0.1644,2.5799999237060547,4.95,80.4,42.2,2.380000114440918,2.7799997329711914,2.8799996376037598,62500,trend
RATCH.BK,2026-07-08,2,0.1124,34.5,7.42,71.8,30.5,30.25,38.75,40.875,2940,trend
BBL.BK,2026-07-08,2,0.0941,191.5,5.33,71.0,42.3,174.5,208.5,217.0,735,trend
ADVANC.BK,2026-07-08,3,0.0362,375.0,2.91,63.8,22.8,349.0,401.0,414.0,384,trend
MEGA.BK,2026-07-08,3,0.0131,36.75,1.39,55.5,19.3,34.5,39.0,40.125,4444,trend
RCL.BK,2026-07-08,3,-0.0175,32.0,0.37,51.6,30.6,31.25,32.75,33.125,13333,trend
SCB.BK,2026-07-08,3,-0.0379,152.5,4.13,73.4,46.4,142.5,162.5,167.5,1000,trend
TOA.BK,2026-07-08,3,-0.0913,14.899999618530273,6.01,68.7,42.8,13.399999618530273,16.399999618530273,17.149999618530273,6666,trend
ICHI.BK,2026-07-08,3,-0.0955,13.899999618530273,1.2,58.5,42.0,13.699999809265137,14.09999942779541,14.199999332427979,50000,trend
TISCO.BK,2026-07-08,3,-0.1608,121.5,2.82,73.0,52.1,116.5,126.5,129.0,2000,trend
BANPU.BK,2026-07-08,3,-0.1681,5.650000095367432,2.95,60.7,16.7,5.199999809265137,6.100000381469727,6.325000524520874,22222,trend
TLI.BK,2026-07-08,3,-0.1683,11.800000190734863,3.19,62.8,24.1,11.0,12.600000381469727,13.000000476837158,12499,trend
PTTEP.BK,2026-07-08,3,-0.2012,141.5,4.46,59.6,27.1,129.0,154.0,160.25,800,dip|reclaim|trend
PTT.BK,2026-07-08,3,-0.2178,36.75,2.09,58.3,17.5,34.5,39.0,40.125,4444,trend
BTG.BK,2026-07-08,3,-0.2262,21.0,1.22,53.9,24.4,20.0,22.0,22.5,10000,trend
EGCO.BK,2026-07-08,3,-0.3585,121.0,1.04,55.5,17.1,116.0,126.0,128.5,2000,trend
BCP.BK,2026-07-08,4,-0.369,35.75,4.59,63.8,21.2,32.0,39.5,41.375,1999,trend
PLANB.BK,2026-07-08,4,-0.4383,4.71999979019165,4.05,59.4,32.8,4.239999771118164,5.199999809265137,5.43999981880188,15624,trend
QH.BK,2026-07-08,4,-0.5085,1.3700000047683716,0.65,54.4,24.2,1.340000033378601,1.399999976158142,1.4149999618530273,249999,trend
HMPRO.BK,2026-07-08,5,-0.8018,6.349999904632568,0.17,52.9,21.3,6.25,6.449999809265137,6.499999761581421,50000,golden
