ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
SCB.BK,159.0,159.0,146.0,13.0,172.0,178.5,76,6.584,81.2905,49.6085,breakout,-0.021,76,1.0,1.0,3,False,no-fresh-dip,2026-07-13 17:00
BBL.BK,198.0,198.0,177.5,20.5,218.5,228.75,60,6.6094,75.9205,47.9909,breakout,0.082,48,1.25,1.0,2,False,no-fresh-dip,2026-07-13 17:00
PLANB.BK,5.65,5.65,4.48,1.17,6.82,7.405,854,18.7417,77.3264,38.3783,breakout,-0.175,854,1.0,1.0,3,False,no-fresh-dip,2026-07-13 17:00
BCP.BK,37.5,37.5,32.75,4.75,42.25,44.625,210,7.4983,72.707,25.167,breakout,-0.25,210,1.0,1.0,3,False,"not-green, no-fresh-dip",2026-07-13 17:00
KCE.BK,44.0,44.0,36.25,7.75,51.75,55.625,193,11.4483,63.7097,23.6796,breakout,2.054,129,1.5,1.0,1,False,no-fresh-dip,2026-07-13 17:00
SCC.BK,249.0,249.0,235.0,14.0,263.0,270.0,88,2.9274,62.0641,22.6987,dip,0.088,71,1.25,1.0,2,True,confirmed,2026-07-13 17:00
STA.BK,18.3,18.3,16.7,1.6,19.9,20.7,781,2.9867,55.6626,22.6899,dip,0.468,625,1.25,1.0,2,True,confirmed,2026-07-13 17:00
IRPC.BK,1.91,1.91,1.78,0.13,2.04,2.105,11538,4.4345,59.5703,21.1132,dip,1.59,7692,1.5,1.0,1,True,confirmed,2026-07-13 17:00
PTT.BK,37.75,37.75,35.0,2.75,40.5,41.875,363,3.7879,65.9822,18.2401,breakout,-0.156,363,1.0,1.0,3,False,adx 18<20,2026-07-13 17:00
