ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-13,1,3.0,4.78000020980835,10.14,79.3,53.5,4.159999847412109,5.40000057220459,5.71000075340271,2418,trend
STECON.BK,2026-07-13,1,2.9271,18.100000381469727,2.17,57.0,38.2,17.399999618530273,18.80000114440918,19.150001525878906,2142,trend
TFG.BK,2026-07-13,1,2.1437,10.800000190734863,5.93,61.9,37.0,9.75,11.850000381469727,12.375000476837158,1428,trend
KCE.BK,2026-07-13,1,2.0739,44.25,12.01,64.1,23.7,36.25,52.25,56.25,187,breakout|trend
IRPC.BK,2026-07-13,1,1.5545,1.9199999570846558,4.93,60.4,21.1,1.7799999713897705,2.059999942779541,2.1299999356269836,10713,dip|trend
HANA.BK,2026-07-13,1,1.5104,37.75,1.93,53.1,11.4,34.0,41.5,43.375,399,trend
KKP.BK,2026-07-13,1,1.4927,106.5,7.3,77.6,57.2,98.5,114.5,118.5,187,trend
CCET.BK,2026-07-13,1,1.4234,8.949999809265137,1.6,53.2,17.7,8.100000381469727,9.799999237060547,10.224998950958252,1764,trend
AMATA.BK,2026-07-13,1,1.4005,27.75,4.16,60.3,33.4,25.25,30.25,31.5,600,trend
JMART.BK,2026-07-13,1,1.0803,12.100000381469727,21.93,74.8,37.9,9.100000381469727,15.100000381469727,16.600000381469727,499,trend
KTB.BK,2026-07-13,1,0.9856,41.25,7.53,81.6,54.9,37.0,45.5,47.625,352,breakout|trend
AOT.BK,2026-07-13,1,0.8677,64.0,3.21,65.9,37.5,62.25,65.75,66.625,856,trend
WHA.BK,2026-07-13,1,0.8223,5.449999809265137,5.99,67.5,33.8,4.960000038146973,5.939999580383301,6.184999465942383,3060,trend
BLA.BK,2026-07-13,1,0.7423,27.0,6.01,67.7,45.6,24.299999237060547,29.700000762939453,31.05000114440918,555,trend
SCGP.BK,2026-07-13,1,0.6892,28.75,3.86,60.7,41.9,26.5,31.0,32.125,666,trend
BGRIM.BK,2026-07-13,1,0.6471,19.5,11.01,78.2,56.0,16.5,22.5,24.0,499,trend
STGT.BK,2026-07-13,1,0.6096,10.699999809265137,1.86,53.8,22.4,9.949999809265137,11.449999809265137,11.824999809265137,1999,trend
CK.BK,2026-07-13,1,0.5748,19.399999618530273,0.29,52.2,20.1,18.700000762939453,20.099998474121094,20.449997901916504,2142,trend
GULF.BK,2026-07-13,1,0.5411,63.5,1.37,54.6,15.4,60.5,66.5,68.0,499,trend
STA.BK,2026-07-13,2,0.5224,18.299999237060547,2.99,55.7,22.7,16.700000762939453,19.89999771118164,20.699996948242188,781,dip|trend
PTTGC.BK,2026-07-13,2,0.4876,34.5,1.93,55.0,14.2,32.75,36.25,37.125,713,cdc|trend
SPRC.BK,2026-07-13,2,0.4253,8.050000190734863,4.68,65.3,30.4,7.400000095367432,8.700000286102295,9.02500033378601,1922,trend
GPSC.BK,2026-07-13,2,0.4076,49.25,8.2,75.6,43.7,42.75,55.75,59.0,191,trend
COM7.BK,2026-07-13,2,0.4033,29.0,3.55,60.6,36.9,26.75,31.25,32.375,555,trend
BA.BK,2026-07-13,2,0.396,18.600000381469727,3.65,59.3,37.0,17.0,20.200000762939453,21.000000953674316,780,trend
PRM.BK,2026-07-13,2,0.3932,9.100000381469727,2.48,61.8,19.6,8.75,9.450000762939453,9.625000953674316,3571,trend
TOP.BK,2026-07-13,2,0.3791,50.25,3.46,61.3,24.5,47.25,53.25,54.75,416,trend
TCAP.BK,2026-07-13,2,0.3568,72.5,6.9,86.9,60.0,66.25,78.75,81.875,200,trend
KBANK.BK,2026-07-13,2,0.3103,233.0,5.5,76.2,52.6,216.0,250.0,258.5,72,trend
KTC.BK,2026-07-13,2,0.2475,37.25,8.29,82.8,53.0,32.5,42.0,44.375,262,trend
TTB.BK,2026-07-13,2,0.2103,2.640000104904175,5.31,84.2,48.5,2.4200000762939453,2.8600001335144043,2.970000147819519,5681,trend
RATCH.BK,2026-07-13,2,0.1795,37.25,12.05,82.3,39.4,31.0,43.5,46.625,200,breakout|trend
AWC.BK,2026-07-13,2,0.1777,2.640000104904175,2.34,57.9,27.0,2.4600000381469727,2.820000171661377,2.910000205039978,6943,cdc|trend
SCC.BK,2026-07-13,2,0.1048,250.0,3.3,63.0,22.7,235.0,265.0,272.5,82,dip|trend
BBL.BK,2026-07-13,2,0.0871,197.5,6.37,75.5,48.0,177.5,217.5,227.5,62,breakout|trend
ERW.BK,2026-07-13,2,0.0586,3.0799999237060547,2.12,56.8,24.6,2.9000000953674316,3.2599997520446777,3.3499996662139893,6943,trend
CRC.BK,2026-07-13,2,0.0135,23.0,0.58,55.1,33.0,22.0,24.0,24.5,1250,trend
ADVANC.BK,2026-07-13,2,-0.0,376.0,2.37,61.8,25.4,358.0,394.0,403.0,68,trend
SCB.BK,2026-07-13,3,-0.0053,158.5,6.28,80.8,49.6,146.0,171.0,177.25,80,breakout|trend
CPN.BK,2026-07-13,3,-0.0387,66.75,0.45,53.9,16.2,65.5,68.0,68.625,800,trend
PLANB.BK,2026-07-13,3,-0.074,5.599999904632568,17.81,76.7,38.4,4.480000019073486,6.71999979019165,7.279999732971191,892,breakout|trend
TISCO.BK,2026-07-13,3,-0.0997,126.0,5.22,82.4,56.6,117.5,134.5,138.75,117,trend
PTTEP.BK,2026-07-13,3,-0.1473,141.0,3.21,58.2,26.7,130.0,152.0,157.5,90,trend
BANPU.BK,2026-07-13,3,-0.1576,5.699999809265137,2.75,61.4,18.5,5.349999904632568,6.049999713897705,6.224999666213989,2857,trend
CENTEL.BK,2026-07-13,3,-0.1578,36.75,1.91,57.1,12.9,34.75,38.75,39.75,500,trend
ICHI.BK,2026-07-13,3,-0.1595,14.300000190734863,2.95,64.5,41.0,13.800000190734863,14.800000190734863,15.050000190734863,2000,trend
TOA.BK,2026-07-13,3,-0.1628,15.600000381469727,8.38,72.8,45.6,14.399999618530273,16.80000114440918,17.400001525878906,833,trend
MEGA.BK,2026-07-13,3,-0.1732,37.25,1.99,57.8,19.5,35.5,39.0,39.875,571,trend
BTG.BK,2026-07-13,3,-0.1789,21.700000762939453,3.72,60.9,24.6,20.399999618530273,23.000001907348633,23.650002479553223,769,trend
PTT.BK,2026-07-13,3,-0.1942,37.75,3.79,66.0,18.2,35.0,40.5,41.875,363,breakout|trend
TLI.BK,2026-07-13,3,-0.2239,11.899999618530273,2.98,64.7,27.5,11.199999809265137,12.59999942779541,12.949999332427979,1428,trend
BCP.BK,2026-07-13,3,-0.2803,37.5,7.5,72.7,25.2,32.75,42.25,44.625,210,breakout|trend
BEM.BK,2026-07-13,3,-0.2869,6.050000190734863,1.89,59.1,54.3,5.900000095367432,6.200000286102295,6.275000333786011,6666,cdc|trend
TRUE.BK,2026-07-13,3,-0.2932,13.5,1.57,53.0,22.0,12.699999809265137,14.300000190734863,14.700000286102295,1249,trend
EGCO.BK,2026-07-13,4,-0.3408,127.5,5.08,66.6,18.8,117.5,137.5,142.5,75,trend
IVL.BK,2026-07-13,4,-0.3849,23.100000381469727,2.24,55.8,14.7,21.600000381469727,24.600000381469727,25.350000381469727,499,trend
SIRI.BK,2026-07-13,4,-0.4694,1.4700000286102295,1.57,58.5,18.8,1.4299999475479126,1.5100001096725464,1.5300001502037048,18749,trend
QH.BK,2026-07-13,4,-0.5858,1.3799999952316284,1.07,56.1,27.1,1.350000023841858,1.409999966621399,1.4249999523162842,24999,trend
AURA.BK,2026-07-13,4,-0.6941,14.399999618530273,2.85,58.0,16.6,13.600000381469727,15.19999885559082,15.599998474121094,937,cdc|trend
LH.BK,2026-07-13,5,-0.7259,3.7799999713897705,1.27,56.7,23.9,3.680000066757202,3.879999876022339,3.929999828338623,5000,golden
