ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-15,1,3.0,5.050000190734863,13.42,84.0,56.3,4.239999771118164,5.8600006103515625,6.265000820159912,1800,breakout|trend
STECON.BK,2026-07-15,1,2.9271,18.0,1.41,55.6,34.9,17.399999618530273,18.600000381469727,18.90000057220459,2400,trend
TFG.BK,2026-07-15,1,2.1437,10.600000381469727,3.23,58.2,37.5,10.0,11.200000762939453,11.500000953674316,2400,trend
KCE.BK,2026-07-15,1,2.0739,44.75,10.56,64.6,24.7,36.25,53.25,57.5,100,trend
IRPC.BK,2026-07-15,1,1.5545,1.9500000476837158,5.51,62.6,23.6,1.7799999713897705,2.120000123977661,2.205000162124634,8700,trend
HANA.BK,2026-07-15,1,1.5104,39.0,4.54,56.8,10.5,34.0,44.0,46.5,300,trend
KKP.BK,2026-07-15,1,1.4927,106.5,5.95,76.1,56.8,98.5,114.5,118.5,100,trend
CCET.BK,2026-07-15,1,1.4234,9.100000381469727,2.59,54.7,17.6,8.100000381469727,10.100000381469727,10.600000381469727,1500,trend
AMATA.BK,2026-07-15,1,1.4005,27.75,3.38,60.3,33.2,25.25,30.25,31.5,600,trend
JMART.BK,2026-07-15,1,1.0803,12.100000381469727,17.07,72.7,40.7,9.100000381469727,15.100000381469727,16.600000381469727,400,trend
KTB.BK,2026-07-15,1,0.9856,41.25,6.03,78.8,57.2,38.25,44.25,45.75,400,trend
AOT.BK,2026-07-15,1,0.8677,63.75,2.39,62.4,36.1,62.25,65.25,66.0,900,trend
WHA.BK,2026-07-15,1,0.8223,5.449999809265137,4.94,66.1,35.2,4.960000038146973,5.939999580383301,6.184999465942383,3000,trend
BLA.BK,2026-07-15,1,0.7423,26.5,3.29,62.1,44.7,24.399999618530273,28.600000381469727,29.65000057220459,600,trend
SCGP.BK,2026-07-15,1,0.6892,29.0,3.95,62.2,39.0,26.5,31.5,32.75,600,trend
BGRIM.BK,2026-07-15,1,0.6471,18.399999618530273,3.55,61.8,54.2,16.899999618530273,19.899999618530273,20.649999618530273,900,trend
STGT.BK,2026-07-15,1,0.6096,10.800000190734863,2.46,55.8,21.2,9.949999809265137,11.65000057220459,12.075000762939453,1600,trend
GULF.BK,2026-07-15,1,0.5411,63.75,1.52,55.5,14.1,61.25,66.25,67.5,600,trend
STA.BK,2026-07-15,2,0.5224,18.899999618530273,5.2,61.7,24.5,16.700000762939453,21.099998474121094,22.199997901916504,500,trend
