ticker,close,buy,stop,riskU,t1,t2,size,distPct,rsi,adx,signals,comp,size_base,size_mult,regime_mult,quintile,validated,validate_reason,validated_at
RATCH.BK,39.25,39.25,34.25,5.0,44.25,46.75,0,9.9568,83.6765,56.785,breakout,0.302,0,1.25,1.0,2,False,no-fresh-dip,2026-07-22 17:01
SPRC.BK,9.85,9.85,8.0,1.85,11.7,12.625,0,16.1775,84.9164,48.4542,breakout,0.974,0,1.5,1.0,1,False,no-fresh-dip,2026-07-22 17:01
IRPC.BK,2.3,2.3,1.84,0.46,2.76,2.99,0,16.3897,80.7948,36.0662,breakout,1.803,0,1.5,1.0,1,False,no-fresh-dip,2026-07-22 17:01
PRM.BK,9.8,9.8,8.9,0.9,10.7,11.15,0,7.1595,73.2371,29.951,breakout,0.564,0,1.25,1.0,2,False,no-fresh-dip,2026-07-22 17:01
STA.BK,19.2,19.2,17.8,1.4,20.6,21.3,0,4.8766,63.0871,27.3557,dip,0.465,0,1.25,1.0,2,True,confirmed,2026-07-22 17:01
SCC.BK,259.0,259.0,235.0,24.0,283.0,295.0,0,4.1381,67.9567,27.297,breakout,0.188,0,1.25,1.0,2,False,no-fresh-dip,2026-07-22 17:01
ERW.BK,3.26,3.26,2.94,0.32,3.58,3.74,0,6.2641,65.2342,22.5281,dip|breakout,0.196,0,1.25,1.0,2,True,confirmed,2026-07-22 17:01
PTTGC.BK,40.25,40.25,33.5,6.75,47.0,50.375,0,13.2079,81.3027,22.0511,breakout,0.809,0,1.5,1.0,1,False,no-fresh-dip,2026-07-22 17:01
