ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-20,1,2.9214,5.300000190734863,14.01,84.7,61.1,4.340000152587891,6.260000228881836,6.740000247955322,1500,trend
STECON.BK,2026-07-20,1,2.8103,18.700000762939453,4.57,61.4,30.9,17.399999618530273,20.000001907348633,20.650002479553223,1000,dip|trend
TFG.BK,2026-07-20,1,1.9704,10.399999618530273,0.88,54.0,36.4,10.300000190734863,10.499999046325684,10.549998760223389,14400,reclaim|trend
KCE.BK,2026-07-20,1,1.6722,41.25,0.74,53.1,21.4,36.25,46.25,48.75,300,trend
IRPC.BK,2026-07-20,1,1.6629,2.1600000858306885,12.8,75.4,30.6,1.840000033378601,2.480000138282776,2.6400001645088196,4600,trend
KKP.BK,2026-07-20,1,1.4884,109.5,7.02,78.9,56.5,100.0,119.0,123.75,100,breakout|trend
AMATA.BK,2026-07-20,1,1.4749,28.25,4.16,61.9,32.8,25.25,31.25,32.75,400,trend
HANA.BK,2026-07-20,1,1.363,37.5,0.36,51.2,9.3,34.0,41.0,42.75,300,reclaim|trend
CCET.BK,2026-07-20,1,0.9991,8.949999809265137,0.85,52.3,15.6,8.100000381469727,9.799999237060547,10.224998950958252,1600,reclaim|trend
KTB.BK,2026-07-20,1,0.9979,42.25,6.61,82.6,60.5,38.75,45.75,47.5,300,breakout|trend
TOP.BK,2026-07-20,1,0.9782,62.75,19.07,84.4,34.2,48.5,77.0,84.125,0,breakout|trend
BGRIM.BK,2026-07-20,1,0.9178,19.700000762939453,7.94,66.9,51.6,17.799999237060547,21.60000228881836,22.550003051757812,700,trend
WHA.BK,2026-07-20,1,0.8648,5.449999809265137,3.69,64.7,36.5,4.960000038146973,5.939999580383301,6.184999465942383,3000,trend
AOT.BK,2026-07-20,1,0.8417,64.0,2.05,62.6,34.4,62.25,65.75,66.625,700,trend
SCGP.BK,2026-07-20,1,0.8051,30.25,6.66,65.7,37.1,26.5,34.0,35.875,300,breakout|trend
GPSC.BK,2026-07-20,1,0.8043,54.5,13.17,84.5,49.1,46.25,62.75,66.875,100,trend
JMART.BK,2026-07-20,1,0.6991,11.5,8.01,64.2,39.2,9.100000381469727,13.899999618530273,15.09999942779541,600,trend
GULF.BK,2026-07-20,1,0.6784,67.25,5.7,66.0,15.4,61.25,73.25,76.25,100,trend
SPRC.BK,2026-07-20,1,0.669,9.25,13.01,80.4,43.0,7.849999904632568,10.650000095367432,11.350000143051147,1000,trend
BLA.BK,2026-07-20,2,0.5977,27.0,3.59,63.7,44.7,25.75,28.25,28.875,1000,trend
PTTGC.BK,2026-07-20,2,0.5891,37.0,6.31,70.2,19.0,33.5,40.5,42.25,200,trend
STGT.BK,2026-07-20,2,0.5222,10.699999809265137,1.11,53.1,18.9,10.399999618530273,11.0,11.150000095367432,4100,trend
PRM.BK,2026-07-20,2,0.4799,9.449999809265137,4.45,68.8,25.7,8.899999618530273,10.0,10.275000095367432,2200,trend
STA.BK,2026-07-20,2,0.4571,18.700000762939453,2.9,58.0,26.6,17.399999618530273,20.000001907348633,20.650002479553223,800,trend
KTC.BK,2026-07-20,2,0.4464,40.5,12.01,86.2,59.2,36.0,45.0,47.25,200,breakout|trend
TCAP.BK,2026-07-20,2,0.3549,74.5,6.89,79.6,65.3,70.25,78.75,80.875,200,breakout|trend
BA.BK,2026-07-20,2,0.3486,18.600000381469727,2.46,57.3,30.7,17.0,20.200000762939453,21.000000953674316,700,trend
COM7.BK,2026-07-20,2,0.3275,30.25,5.36,67.9,37.1,27.75,32.75,34.0,500,trend
