ticker,asof,quintile,composite,close,distPct,rsi,adx,stop,t1,t2,size,signals
GUNKUL.BK,2026-07-16,1,3.0,5.0,11.0,80.3,57.8,4.28000020980835,5.71999979019165,6.079999685287476,1900,trend
STECON.BK,2026-07-16,1,2.9271,17.899999618530273,0.76,54.5,33.1,17.399999618530273,18.399999618530273,18.649999618530273,3000,trend
TFG.BK,2026-07-16,1,2.1437,10.600000381469727,2.91,58.2,37.1,10.399999618530273,10.80000114440918,10.900001525878906,7300,trend
KCE.BK,2026-07-16,1,2.0739,44.25,8.24,62.4,24.5,36.25,52.25,56.25,100,trend
IRPC.BK,2026-07-16,1,1.5545,2.0,7.37,66.5,25.3,1.8300000429153442,2.1699999570846558,2.2549999356269836,8700,breakout|trend
HANA.BK,2026-07-16,1,1.5104,38.25,2.23,53.8,9.8,34.0,42.5,44.625,300,trend
KKP.BK,2026-07-16,1,1.4927,106.5,5.35,76.1,56.7,99.0,114.0,117.75,100,trend
CCET.BK,2026-07-16,1,1.4234,9.0,1.37,53.2,17.1,8.100000381469727,9.899999618530273,10.34999942779541,1600,trend
AMATA.BK,2026-07-16,1,1.4005,27.75,2.97,59.4,33.0,25.25,30.25,31.5,600,trend
JMART.BK,2026-07-16,1,1.0803,11.600000381469727,11.03,65.7,41.1,9.100000381469727,14.100000381469727,15.350000381469727,600,trend
KTB.BK,2026-07-16,1,0.9856,41.25,5.42,78.8,58.2,38.75,43.75,45.0,600,trend
AOT.BK,2026-07-16,1,0.8677,64.25,2.92,64.3,35.9,62.25,66.25,67.25,700,trend
WHA.BK,2026-07-16,1,0.8223,5.400000095367432,3.58,62.8,35.5,4.960000038146973,5.840000152587891,6.06000018119812,3300,trend
BLA.BK,2026-07-16,1,0.7423,27.25,5.5,66.8,44.6,25.25,29.25,30.25,700,trend
SCGP.BK,2026-07-16,1,0.6892,29.75,5.96,66.2,38.3,26.5,33.0,34.625,400,trend
BGRIM.BK,2026-07-16,1,0.6471,18.899999618530273,5.73,65.5,52.5,17.100000381469727,20.69999885559082,21.599998474121094,700,trend
STGT.BK,2026-07-16,1,0.6096,10.800000190734863,2.3,56.0,21.1,10.0,11.600000381469727,12.000000476837158,1800,trend
GULF.BK,2026-07-16,1,0.5411,63.0,0.33,51.8,13.2,61.25,64.75,65.625,700,trend
STA.BK,2026-07-16,2,0.5224,19.0,5.23,62.7,25.5,16.799999237060547,21.200000762939453,22.30000114440918,500,trend
PTTGC.BK,2026-07-16,2,0.4876,36.75,7.09,69.0,15.9,33.5,40.0,41.625,300,breakout|trend
SPRC.BK,2026-07-16,2,0.4253,9.149999618530273,14.88,80.8,37.7,7.599999904632568,10.699999332427979,11.474999189376831,700,breakout|trend
GPSC.BK,2026-07-16,2,0.4076,52.0,11.23,80.7,45.6,45.5,58.5,61.75,100,breakout|trend
COM7.BK,2026-07-16,2,0.4033,29.75,4.76,65.0,36.2,27.75,31.75,32.75,600,trend
BA.BK,2026-07-16,2,0.396,18.799999237060547,4.0,59.9,33.2,17.0,20.599998474121094,21.499998092651367,600,trend
PRM.BK,2026-07-16,2,0.3932,9.399999618530273,4.75,70.3,22.7,8.899999618530273,9.899999618530273,10.149999618530273,2500,breakout|trend
TOP.BK,2026-07-16,2,0.3791,60.0,18.69,81.7,28.8,48.5,71.5,77.25,0,breakout|trend
TCAP.BK,2026-07-16,2,0.3568,72.25,4.78,78.8,64.1,68.5,76.0,77.875,200,trend
KBANK.BK,2026-07-16,2,0.3103,235.0,4.98,75.0,54.8,227.0,243.0,247.0,100,trend
KTC.BK,2026-07-16,2,0.2475,39.0,10.32,82.9,56.8,34.5,43.5,45.75,200,trend
TTB.BK,2026-07-16,2,0.2103,2.7200000286102295,6.63,88.5,52.0,2.5,2.940000057220459,3.0500000715255737,5600,breakout|trend
RATCH.BK,2026-07-16,2,0.1795,37.75,10.1,79.6,47.4,31.75,43.75,46.75,100,breakout|trend
AWC.BK,2026-07-16,2,0.1777,2.799999952316284,6.56,66.4,26.0,2.4600000381469727,3.1399998664855957,3.3099998235702515,3600,trend
JMT.BK,2026-07-16,2,0.1419,12.199999809265137,3.43,58.0,29.2,10.899999618530273,13.5,14.150000095367432,800,trend
SCC.BK,2026-07-16,2,0.1048,256.0,4.53,68.8,24.4,235.0,277.0,287.5,0,breakout|trend
BBL.BK,2026-07-16,2,0.0871,203.0,7.23,79.1,53.6,188.0,218.0,225.5,0,breakout|trend
ERW.BK,2026-07-16,2,0.0586,3.0999999046325684,2.55,57.2,21.6,2.9000000953674316,3.299999713897705,3.3999996185302734,6200,dip|reclaim|trend
CRC.BK,2026-07-16,2,0.0135,23.399999618530273,1.85,59.4,28.0,22.0,24.799999237060547,25.499999046325684,800,trend
ADVANC.BK,2026-07-16,2,-0.0,375.0,1.42,57.5,28.8,368.0,382.0,385.5,100,trend
SCB.BK,2026-07-16,3,-0.0053,158.0,4.54,72.8,51.6,150.0,166.0,170.0,100,trend
CPN.BK,2026-07-16,3,-0.0387,67.75,1.72,59.7,14.1,65.5,70.0,71.125,400,trend
PLANB.BK,2026-07-16,3,-0.074,5.599999904632568,12.32,73.5,44.3,4.699999809265137,6.5,6.950000047683716,1100,trend
RCL.BK,2026-07-16,3,-0.0742,32.5,1.18,54.5,32.6,31.75,33.25,33.625,1300,trend
TISCO.BK,2026-07-16,3,-0.0997,127.0,4.73,77.7,61.5,119.0,135.0,139.0,100,breakout|trend
PTTEP.BK,2026-07-16,3,-0.1473,143.5,3.62,61.8,28.5,131.5,155.5,161.5,0,trend
BANPU.BK,2026-07-16,3,-0.1576,5.800000190734863,3.41,64.5,19.4,5.449999809265137,6.15000057220459,6.325000762939453,2800,trend
CENTEL.BK,2026-07-16,3,-0.1578,37.5,3.44,60.7,12.1,34.75,40.25,41.625,300,trend
ICHI.BK,2026-07-16,3,-0.1595,14.800000190734863,5.13,72.4,42.8,13.899999618530273,15.700000762939453,16.150001049041748,1100,breakout|trend
TOA.BK,2026-07-16,3,-0.1628,15.300000190734863,4.65,65.9,47.5,14.5,16.100000381469727,16.500000476837158,1200,trend
MEGA.BK,2026-07-16,3,-0.1732,38.0,3.02,62.4,21.0,36.5,39.5,40.25,600,trend
BTG.BK,2026-07-16,3,-0.1789,21.200000762939453,1.03,53.8,24.0,20.899999618530273,21.500001907348633,21.650002479553223,3300,trend
PTT.BK,2026-07-16,3,-0.1942,38.75,4.93,72.3,22.7,36.0,41.5,42.875,300,trend
BH.BK,2026-07-16,3,-0.202,186.0,0.16,52.0,17.4,183.0,189.0,190.5,300,reclaim|trend
TLI.BK,2026-07-16,3,-0.2239,11.699999809265137,0.93,56.4,29.5,11.600000381469727,11.799999237060547,11.849998950958252,8500,trend
BCP.BK,2026-07-16,3,-0.2803,42.25,16.61,85.3,32.8,34.5,50.0,53.875,100,breakout|trend
BEM.BK,2026-07-16,3,-0.2869,6.550000190734863,8.28,73.3,55.5,5.900000095367432,7.200000286102295,7.525000333786011,1500,trend
